Date,HomeTeam,AwayTeam,FTHG,Game_settled,FTAG,FTR,Season,HomeTeam_curpts,AwayTeam_curpts,HomeTeam_curpos,AwayTeam_curpos,Pos_diff,Pos_diff_abs,Pos_diff_bin,Pos_diff_std,Table_winner,HomeTeam_curpts_avg,AwayTeam_curpts_avg,Avg_pts_diff,Avg_pts_diff_bin,Avg_pts_diff_std,HomeTeam_avg_scored,AwayTeam_avg_scored,Avg_goals_scored_diff,Avg_goals_scored_diff_std,Avg_goals_scored_diff_bin,HomeTeam_ratio,AwayTeam_ratio,Draw_ratio_diff,Draw_ratio_diff_std,Home_Points,Away_Points,HomeForm,AwayForm,Form_diff,Form_diff_bin,Form_diff_std,Form_winner,B365H,B365D,B365A,Bet_diff,Bet_diff_bin,Bet_diff_std,Bet_winner,Index
1995-08-23 00:00:00,Man United,West Ham,2.0,1.0,1.0,H,9596,0,0,1,10,-9,9,-3,-1.0742894136874392,1,0.0,0.0,0.0,0,0.07121958817197266,1.5,1.0,0.5,0.7372314698873388,1,0.0,0.0,0.0,0.013591840914099557,3,0,0.0,0.0,0.0,0,0.10826315991900289,0,,,,,,,0,9514
1995-08-23 00:00:00,Nott'm Forest,Chelsea,0.0,0.0,0.0,D,9596,3,1,9,11,-2,2,-1,-0.23873098081943095,1,3.0,1.0,2.0,2,2.531532634112846,2.0,0.0,2.0,3.0425965008056135,3,0.5,1.0,-0.5,-3.297241202263995,1,1,3.0,1.0,2.0,1,0.7151929958285644,1,,,,,,,0,9515
1995-08-23 00:00:00,QPR,Wimbledon,0.0,1.0,3.0,A,9596,0,3,19,14,5,5,2,0.5968274520485773,0,0.0,3.0,-3.0,-3,-3.6192499807393377,0.0,3.0,-3.0,-4.6419536022553025,-5,0.0,0.0,0.0,0.013591840914099557,0,3,0.0,3.0,-3.0,-1,-0.8021315939453395,0,,,,,,,0,9516
1995-08-23 00:00:00,Sheffield Weds,Blackburn,2.0,1.0,1.0,H,9596,0,3,15,6,9,9,3,1.0742894136874392,0,0.0,3.0,-3.0,-3,-3.6192499807393377,1.0,1.0,0.0,-0.03122354041875277,0,0.0,0.0,0.0,0.013591840914099557,3,0,0.0,3.0,-3.0,-1,-0.8021315939453395,0,,,,,,,0,9517
1995-08-23 00:00:00,Tottenham,Aston Villa,0.0,1.0,1.0,A,9596,1,3,8,5,3,3,1,0.35809647122914645,0,1.0,3.0,-2.0,-2,-2.389093457768901,0.5,2.0,-1.5,-2.336588571337028,-3,0.5,0.0,0.5,3.324424884092194,0,3,1.0,3.0,-2.0,-1,-0.49866667599055875,0,,,,,,,0,9518
1995-08-26 00:00:00,Bolton,Blackburn,2.0,1.0,1.0,H,9596,0,3,20,6,14,14,5,1.6711168657360167,0,0.0,1.5,-1.5,-2,-1.7740151962836825,1.67,1.0,0.6699999999999999,0.9985061733914099,2,0.0,0.0,0.0,0.013591840914099557,3,0,0.0,3.0,-3.0,-1,-0.8021315939453395,0,,,,,,,0,9519
1995-08-26 00:00:00,Coventry,Arsenal,0.0,0.0,0.0,D,9596,3,4,16,4,12,12,4,1.4323858849165858,0,1.5,2.0,-0.5,-1,-0.5438586733132458,0.67,1.0,-0.32999999999999996,-0.5384038472207732,-1,0.33,0.67,-0.34,-2.237774628447005,1,1,3.0,4.0,-1.0,0,-0.1952017580357779,0,,,,,,,0,9520
1995-08-26 00:00:00,Everton,Southampton,2.0,1.0,0.0,H,9596,1,0,7,18,-11,11,-4,-1.3130203945068704,1,0.5,0.0,0.5,0,0.686297849657191,0.67,1.5,-0.83,-1.3068588575268647,-2,0.33,0.0,0.33,2.198741649411642,3,0,1.0,0.0,1.0,0,0.4117280778737836,1,,,,,,,0,9521
1995-08-26 00:00:00,Leeds,Aston Villa,2.0,1.0,0.0,H,9596,6,6,12,5,7,7,3,0.8355584328680083,0,3.0,3.0,0.0,0,0.07121958817197266,1.67,1.33,0.33999999999999986,0.49132586658938926,1,0.0,0.0,0.0,0.013591840914099557,3,0,6.0,6.0,0.0,0,0.10826315991900289,1,,,,,,,0,9522
1995-08-26 00:00:00,Man United,Wimbledon,3.0,1.0,1.0,H,9596,3,6,1,14,-13,13,-5,-1.5517513753263013,1,1.5,3.0,-1.5,-2,-1.7740151962836825,2.0,2.33,-0.33000000000000007,-0.5384038472207734,-1,0.0,0.0,0.0,0.013591840914099557,3,0,3.0,6.0,-3.0,-1,-0.8021315939453395,0,,,,,,,0,9523
1995-08-26 00:00:00,Middlesbrough,Chelsea,2.0,1.0,0.0,H,9596,1,2,13,11,2,2,1,0.23873098081943095,0,1.0,1.0,0.0,0,0.07121958817197266,1.5,0.0,1.5,2.274141490499522,3,0.5,0.67,-0.17000000000000004,-1.112091393766453,3,0,1.0,2.0,-1.0,0,-0.1952017580357779,0,,,,,,,0,9524
1995-08-26 00:00:00,Nott'm Forest,West Ham,1.0,0.0,1.0,D,9596,4,0,9,10,-1,1,0,-0.11936549040971547,1,2.0,0.0,2.0,2,2.531532634112846,1.67,1.0,0.6699999999999999,0.9985061733914099,2,0.67,0.33,0.34,2.264958310275204,1,1,4.0,0.0,4.0,2,1.322122831738126,1,,,,,,,0,9525
1995-08-26 00:00:00,QPR,Man City,1.0,1.0,0.0,H,9596,0,1,19,17,2,2,1,0.23873098081943095,0,0.0,0.5,-0.5,-1,-0.5438586733132458,0.33,0.67,-0.34,-0.5537729474268952,-1,0.0,0.33,-0.33,-2.171557967583443,3,0,0.0,1.0,-1.0,0,-0.1952017580357779,0,,,,,,,0,9526
